0,1,2,3,4,5,6,7,8,9,10,11,12,13
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,Murder (Sec.302 IPC),,,"Culpable Homicide not
amounting to Murder
(Sec.304 IPC)",,,Causing Death by Negligence,,,,,
,,,,,,,,"Causing Death by Negligence
(Sec.304-A IPC) (Total)",,,,,
,,I,V,R,I,V,R,I,V,R,,,
1,2,3,4,5,6,7,8,9,10,11,,,
STATES:,,,,,,,,,,,,,
1 Andhra Pradesh 935 997 1.8 266 296 0.5 7169 9666 13.8,,,,,,,,,,,,,
2 Arunachal Pradesh 62 68 4.2 8 11 0.5 149 178 10.0,,,,,,,,,,,,,
3 Assam 1241 1246 3.6 34 34 0.1 3177 3448 9.3,,,,,,,,,,,,,
4 Bihar 2934 2977 2.5 110 110 0.1 6347 6723 5.4,,,,,,,,,,,,,
5 Chhattisgarh 917 965 3.2 36 39 0.1 4377 4711 15.4,,,,,,,,,,,,,
6 Goa 29 29 1.9 4 6 0.3 194 231 12.6,,,,,,,,,,,,,
7 Gujarat 1072 1140 1.6 78 149 0.1 7366 8748 10.9,,,,,,,,,,,,,
8 Haryana 1104 1140 3.9 46 46 0.2 5516 6002 19.4,,,,,,,,,,,,,
9 Himachal Pradesh 99 101 1.4 7 7 0.1 707 975 9.7,,,,,,,,,,,,,
10 Jammu & Kashmir 181 212 1.3 24 27 0.2 747 990 5.6,,,,,,,,,,,,,
11 Jharkhand 1712 1714 4.6 63 63 0.2 3573 3656 9.6,,,,,,,,,,,,,
12 Karnataka 1334 1422 2.0 86 121 0.1 10528 11562 16.1,,,,,,,,,,,,,
13 Kerala 292 307 0.8 90 113 0.3 3497 3776 10.0,,,,,,,,,,,,,
14 Madhya Pradesh 1879 1910 2.3 131 149 0.2 10955 12065 13.4,,,,,,,,,,,,,
15 Maharashtra 2199 2272 1.8 324 422 0.3 12831 13897 10.6,,,,,,,,,,,,,
16 Manipur 52 52 1.7 5 5 0.2 128 140 4.2,,,,,,,,,,,,,
17 Meghalaya 95 98 3.0 9 9 0.3 157 182 4.9,,,,,,,,,,,,,
18 Mizoram 27 27 2.3 3 3 0.3 46 54 3.9,,,,,,,,,,,,,
19 Nagaland 31 39 1.5 2 2 0.1 35 43 1.6,,,,,,,,,,,,,
20 Odisha 1378 1394 3.2 7 7 0.0 5254 5601 12.1,,,,,,,,,,,,,
21 Punjab 684 725 2.3 164 294 0.6 3232 3420 10.9,,,,,,,,,,,,,
22 Rajasthan 1508 1519 2.0 77 77 0.1 9502 11035 12.4,,,,,,,,,,,,,
23 Sikkim 12 12 1.8 3 3 0.5 53 87 8.0,,,,,,,,,,,,,
24 Tamil Nadu 1569 1631 2.1 55 57 0.1 12114 13470 16.1,,,,,,,,,,,,,
25 Telangana 786 815 2.1 153 157 0.4 6448 7703 17.4,,,,,,,,,,,,,
26 Tripura 137 141 3.5 2 2 0.1 207 223 5.2,,,,,,,,,,,,,
27 Uttar Pradesh 4018 4437 1.8 1351 1371 0.6 21435 23054 9.6,,,,,,,,,,,,,
28 Uttarakhand 211 219 1.9 42 45 0.4 752 909 6.8,,,,,,,,,,,,,
29 West Bengal 1933 1950 2.0 367 412 0.4 5218 5824 5.4,,,,,,,,,,,,,
TOTAL STATE(S) 28431 29559 2.2 3547 4037 0.3 141714 158373 10.9,,,,,,,,,,,,,
UNION TERRITORIES:,,,,,,,,,,,,,
30 A&N Islands 11 12 2.8 3 41 0.8 30 37 7.6,,,,,,,,,,,,,
31 Chandigarh 20 20 1.7 3 3 0.3 62 65 5.3,,,,,,,,,,,,,
32 D&N Haveli 7 7 1.3 2 2 0.4 70 70 13.3,,,,,,,,,,,,,
33 Daman & Diu 5 6 1.3 2 2 0.5 49 51 12.4,,,,,,,,,,,,,
34 Delhi 513 557 2.6 77 97 0.4 1910 2039 9.8,,,,,,,,,,,,,
35 Lakshadweep 1 1 1.5 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
36 Puducherry 29 29 2.0 1 1 0.1 196 196 13.2,,,,,,,,,,,,,
"TOTAL UT(S) 586 632 2.5 88 146 0.4 2317 2458 9.8
TOTAL ALL INDIA 29017 30191 2.2 3635 4183 0.3 144031 160831 10.9",,,,,,,,,,,,,
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,Causing Death by Negligence,,,,,,,,,,,
,,Deaths due to Negligence relating to Road Accidents,,,,,,,,,,,
,,"Deaths due to Negligence relating
to Road Accidents (Total)",,,A) Hit and Run,,,"B) Other Accidents (other than Hit
and Run)",,,,,
,,I,V,R,I,V,R,I,V,R,,,
1,2,12,13,14,15,16,17,18,19,20,,,
STATES:,,,,,,,,,,,,,
1 Andhra Pradesh 6865 9309 13.2 622 680 1.2 6243 8629 12.0,,,,,,,,,,,,,
2 Arunachal Pradesh 118 141 7.9 16 19 1.1 102 122 6.8,,,,,,,,,,,,,
3 Assam 2613 2807 7.7 1174 1350 3.4 1439 1457 4.2,,,,,,,,,,,,,
4 Bihar 6210 6582 5.2 1055 1072 0.9 5155 5510 4.4,,,,,,,,,,,,,
5 Chhattisgarh 3935 4269 13.8 1880 1927 6.6 2055 2342 7.2,,,,,,,,,,,,,
6 Goa 179 215 11.7 30 37 2.0 149 178 9.7,,,,,,,,,,,,,
7 Gujarat 7229 8560 10.7 1109 1222 1.6 6120 7338 9.1,,,,,,,,,,,,,
8 Haryana 5268 5754 18.5 772 772 2.7 4496 4982 15.8,,,,,,,,,,,,,
9 Himachal Pradesh 663 925 9.1 59 80 0.8 604 845 8.3,,,,,,,,,,,,,
10 Jammu & Kashmir 702 945 5.2 144 159 1.1 558 786 4.2,,,,,,,,,,,,,
11 Jharkhand 3186 3269 8.6 1870 1885 5.0 1316 1384 3.6,,,,,,,,,,,,,
12 Karnataka 10126 11014 15.5 976 1081 1.5 9150 9933 14.0,,,,,,,,,,,,,
13 Kerala 3421 3667 9.8 146 151 0.4 3275 3516 9.4,,,,,,,,,,,,,
14 Madhya Pradesh 10235 11280 12.6 6881 7458 8.4 3354 3822 4.1,,,,,,,,,,,,,
15 Maharashtra 12342 13376 10.2 3328 3684 2.7 9014 9692 7.4,,,,,,,,,,,,,
16 Manipur 125 137 4.1 69 69 2.2 56 68 1.8,,,,,,,,,,,,,
17 Meghalaya 115 124 3.6 41 41 1.3 74 83 2.3,,,,,,,,,,,,,
18 Mizoram 38 42 3.2 5 5 0.4 33 37 2.8,,,,,,,,,,,,,
19 Nagaland 21 22 1.0 2 2 0.1 19 20 0.9,,,,,,,,,,,,,
20 Odisha 5234 5581 12.0 4312 4444 9.9 922 1137 2.1,,,,,,,,,,,,,
21 Punjab 3180 3367 10.7 1458 1567 4.9 1722 1800 5.8,,,,,,,,,,,,,
22 Rajasthan 8846 10374 11.5 2340 3095 3.1 6506 7279 8.5,,,,,,,,,,,,,
23 Sikkim 45 79 6.8 2 2 0.3 43 77 6.5,,,,,,,,,,,,,
