State_UT,Year,Rape_I,Rape_V,Rape_R,Attempt_to_Commit_Rape_I,Attempt_to_Commit_Rape_V,Attempt_to_Commit_Rape_R,Dowry_Deaths_I,Dowry_Deaths_V,Dowry_Deaths_R,Assault_on_Women_Modesty_I,Assault_on_Women_Modesty_V,Assault_on_Women_Modesty_R,Sexual_Harassment_I,Sexual_Harassment_V,Sexual_Harassment_R,Stalking_I,Stalking_V,Stalking_R,Voyeurism_I,Voyeurism_V,Voyeurism_R,Disrobe_Sec354B_I,Disrobe_Sec354B_V,Disrobe_Sec354B_R,Kidnapping_Abduction_Women_I,Kidnapping_Abduction_Women_V,Kidnapping_Abduction_Women_R,Human_Trafficking_I,Human_Trafficking_V,Human_Trafficking_R,Cruelty_by_Husband_Relatives_I,Cruelty_by_Husband_Relatives_V,Cruelty_by_Husband_Relatives_R,Insult_to_Modesty_Sec509_I,Insult_to_Modesty_Sec509_V,Insult_to_Modesty_Sec509_R
Andhra Pradesh,2019,1086.0,1104.0,4.154075660788739,177.0,178.0,0.677045480625789,112.0,112.0,0.4284129594920246,4444.0,4499.0,17.0,891.0,896.0,3.408178097387446,781.0,782.0,2.9874153693149217,111.0,111.0,0.4245878437822744,265.0,269.0,1.0136556630838083,105.0,105.0,0.4016371495237731,36.0,47.0,0.1,7851.0,7952.0,30.030983437248977,1892.0,1900.0,7.237118922847416
Arunachal Pradesh,2019,63.0,64.0,8.60655737704918,2.0,2.0,0.27322404371584696,1.0,1.0,0.13661202185792348,80.0,85.0,10.9,16.0,16.0,2.1857923497267757,4.0,4.0,0.5464480874316939,1.0,1.0,0.13661202185792348,4.0,4.0,0.5464480874316939,11.0,11.0,1.5027322404371584,3.0,9.0,0.2,54.0,54.0,7.377049180327869,6.0,6.0,0.819672131147541
Assam,2019,1773.0,1791.0,10.50044418122594,400.0,448.0,2.368966538347646,156.0,164.0,0.9238969499555819,4619.0,4646.0,27.4,781.0,784.0,4.625407166123779,272.0,272.0,1.6108972460763993,171.0,171.0,1.0127331951436187,1266.0,1273.0,7.4977790938702995,3831.0,3970.0,22.688777021024578,200.0,243.0,0.6,11943.0,11946.0,70.73141841871484,385.0,385.0,2.2801302931596092
Bihar,2019,730.0,740.0,1.2670311550811422,110.0,112.0,0.19092250282044607,1120.0,1127.0,1.943938210535451,312.0,316.0,0.5,72.0,76.0,0.1249674563915647,9.0,9.0,0.015620932048945588,4.0,4.0,0.006942636466198039,35.0,35.0,0.060748069079232844,7114.0,7115.0,12.347478955133212,26.0,63.0,0.0,2397.0,2641.0,4.160374902369175,11.0,13.0,0.019092250282044608
Chhattisgarh,2019,1036.0,1038.0,7.205452775073028,9.0,9.0,0.06259563221588538,76.0,76.0,0.528585338711921,1316.0,1320.0,9.2,113.0,113.0,0.785922937821672,86.0,86.0,0.5981360411740159,16.0,16.0,0.11128112393935179,51.0,51.0,0.3547085825566838,425.0,425.0,2.955904854639032,42.0,205.0,0.1,732.0,732.0,5.091111420225344,232.0,233.0,1.613576297120601
Goa,2019,72.0,74.0,9.424083769633508,0.0,0.0,0.0,1.0,1.0,0.13089005235602094,119.0,125.0,15.6,36.0,38.0,4.712041884816754,26.0,28.0,3.4031413612565444,4.0,4.0,0.5235602094240838,6.0,6.0,0.7853403141361257,1.0,1.0,0.13089005235602094,28.0,70.0,1.8,9.0,9.0,1.1780104712041886,37.0,37.0,4.842931937172775
Gujarat,2019,528.0,529.0,1.6252154641713863,1.0,1.0,0.0030780595912336863,9.0,9.0,0.02770253632110318,1048.0,1055.0,3.2,384.0,388.0,1.1819748830337355,105.0,106.0,0.3231962570795371,15.0,15.0,0.04617089386850529,49.0,50.0,0.15082491997045064,621.0,624.0,1.9114750061561192,6.0,11.0,0.0,3619.0,3629.0,11.13949766067471,16.0,16.0,0.04924895345973898
Haryana,2019,1480.0,1480.0,10.938654841093864,194.0,194.0,1.433850702143385,248.0,248.0,1.8329637841832962,2581.0,2585.0,19.1,916.0,916.0,6.7701404286770135,506.0,506.0,3.739837398373983,34.0,34.0,0.25129342202512933,456.0,457.0,3.3702882483370287,1215.0,1245.0,8.980044345898003,10.0,15.0,0.0,4867.0,4875.0,35.97191426459719,173.0,174.0,1.278640059127864
Himachal Pradesh,2019,359.0,361.0,9.958391123439668,5.0,5.0,0.1386962552011096,4.0,4.0,0.11095700416088766,498.0,509.0,13.8,175.0,183.0,4.8543689320388355,117.0,118.0,3.2454923717059643,3.0,3.0,0.08321775312066575,17.0,17.0,0.47156726768377255,182.0,186.0,5.048543689320389,0.0,0.0,0.0,228.0,228.0,6.324549237170597,72.0,75.0,1.997226074895978
Jammu & Kashmir,2019,223.0,223.0,3.4756857855361596,13.0,13.0,0.20261845386533667,8.0,8.0,0.12468827930174564,1440.0,1445.0,22.4,1.0,1.0,0.015586034912718205,18.0,18.0,0.2805486284289277,1.0,1.0,0.015586034912718205,35.0,35.0,0.5455112219451372,380.0,381.0,5.922693266832918,0.0,0.0,0.0,347.0,348.0,5.408354114713217,15.0,15.0,0.23379052369077308
